CQID,boxcarName,sources
LSIP200137798,4K Sector Drive Support (Phase 1),
LSIP200204945,ENG_RAS_Misbehaving_Drives_ph2,"Application/RAID/pdm, Application/RAID/vdm, Application/RAID/vdm/drm, Application/RAID/vdm/exop, Application/RAID/vdm/sym, Application/RAID1/fdi/adrc"
LSIP200306799,RedHat v7,
LSIP200318328,Windows ODX,
LSIP200346158,iSCSI Support,
LSIP200358558,Private SYMbol API Infrastructure,
LSIP200382688,Rapid Reconstruct Feature,"Application/RAID/vdm, Application/RAID/vdm/exop, Application/RAID/vdm/drm, Application/RAID/evf"
LSIP200383644,Denali 2 HIC with PI support,
LSIP200388551,Bosch Customization Integration,
LSIP200405931,Kingston Release Team Engineers (RTE),
LSIP200409801,Kingston - Early Integration (CIT),
LSIP200409804,Kingston - Early Integration (RIT),
LSIP200409805,Kingston - Regression,
LSIP200411038,Soyuz Enhancements for Kingston,
LSIP200422828,Serviceability-Kingston,
LSIP200422891,Auto Support enhancement for IBM,
LSIP200427098,CDT1-Kingston,
LSIP200431177,Performance Boost for Soyuz,
LSIP200435839,CDS1-Kingston,
LSIP200451853,StorageGRID Appliance,
LSIP200451876,Reserve Drive Space,
LSIP200461497,CDS2-Kingston,
LSIP200461499,CDT2-Kingston,
LSIP200479551,TD 4K boundaries for 512e drives,
LSIP200481840,Read Percentage in Performance Monitor,
LSIP200484032,Network Streaming Workload Capture,
LSIP200488373,DDP enhancements for Kingston,
LSIP200508378,CDT3-Kingston,
LSIP200509908,Titan,
LSIP200520950,TD SPFA thresholds,
LSIP200526455,Kingston - Program Management,
LSIP200537822,Kingston - Quality,
LSIP200543983,Kingston - Information Engineering,
